region_pk;region_name;msk_offset
1;Алтайский край;4
3;Краснодарский край;0
4;Красноярский край;4
5;Приморский край;7
7;Ставропольский край;0
8;Хабаровский край;7
10;Амурская область;6
11;Архангельская область;0
12;Астраханская область;1
14;Белгородская область;0
15;Брянская область;0
17;Владимирская область;0
18;Волгоградская область;0
19;Вологодская область;0
20;Воронежская область;0
22;Нижегородская область;0
24;Ивановская область;0
25;Иркутская область;5
26;Республика Ингушетия;0
27;Калининградская область;-1
28;Тверская область;0
29;Калужская область;0
30;Камчатский край;9
32;Кемеровская область;4
33;Кировская область;0
34;Костромская область;0
35;Республика Крым;0
36;Самарская область;1
37;Курганская область;2
38;Курская область;0
40;Город Санкт-Петербург;0
41;Ленинградская область;0
42;Липецкая область;0
44;Магаданская область;8
45;Город Москва столица;0
46;Московская область;0
47;Мурманская область;0
49;Новгородская область;0
50;Новосибирская область;4
52;Омская область;3
53;Оренбургская область;2
54;Орловская область;0
56;Пензенская область;0
57;Пермский край;2
57100;Коми-Пермяцкий автономный округ (Пермская область);2
58;Псковская область;0
60;Ростовская область;0
61;Рязанская область;0
63;Саратовская область;1
64;Сахалинская область;8
65;Свердловская область;2
66;Смоленская область;0
67;Город Севастополь;0
68;Тамбовская область;0
69;Томская область;4
70;Тульская область;0
71;Тюменская область;2
71100;Ханты-Мансийский автономный округ - Югра (Тюменская область);2
71140;Ямало-Ненецкий автономный округ (Тюменская область);2
73;Ульяновская область;1
75;Челябинская область;2
76200;Забайкальский край;6
77;Чукотский автономный округ;9
78;Ярославская область;0
79;Республика Адыгея (Адыгея);0
80;Республика Башкортостан;2
81;Республика Бурятия;5
82;Республика Дагестан;0
83;Кабардино-Балкарская Республика;0
84;Республика Алтай;4
85;Республика Калмыкия;0
86;Республика Карелия;0
87;Республика Коми;0
88;Республика Марий Эл;0
89;Республика Мордовия;0
90;Республика Северная Осетия-Алания;0
91;Карачаево-Черкесская Республика;0
92;Республика Татарстан;0
93;Республика Тыва;4
94;Удмуртская Республика;1
95;Республика Хакасия;4
96;Чеченская Республика;0
97;Чувашская Республика-Чувашия;0
98;Республика Саха (Якутия);6
99;Еврейская автономная область;7
